1,31,39,1159,"2020-12-21 12:13:00.0000000",,"y","please check invoice for further approval test","checked process invoice","y"
2,31,39,1167,"2020-12-21 12:13:00.0000000",,"y","test comment","hgjkjklkllklklklk","y"
3,31,39,1167,"2020-12-22 10:49:00.0000000",,"y","new test refer1","hgjkjklkllklklklk","y"
4,31,39,1167,"2020-12-22 11:18:00.0000000",,"y","tertrtrtrtrty","hgjkjklkllklklklk","y"
5,31,39,1167,"2020-12-22 11:20:00.0000000",,"y","hghghghghj","hgjkjklkllklklklk","y"
6,31,39,1172,"2020-12-22 10:05:00.0000000",,"y","test refer1","hgdddddddddd","y"
7,31,39,1172,"2020-12-22 10:13:00.0000000",,"y","test refer 2","hgdddddddddd","y"
8,31,39,1172,"2020-12-22 11:26:00.0000000",,"y","gjhkjkllklkljjjjjjjjjjjjjjjjjjjjjjjjjjjjnb","hjjkklyteestyuufromvivek","y"
9,38,70,1761,"2020-12-21 12:13:00.0000000",,"y","Test Refer","Ok Refer test","y"
10,39,31,1173,"2020-12-21 12:13:00.0000000",,"y","refer from vivek to admin",,"y"
11,39,38,1112,"2020-12-21 12:13:00.0000000",,"y","hi there","currecny sorted","y"
12,39,38,1182,"2020-12-21 12:13:00.0000000",,"y","bhaiya edhar issue aaya hai dekh lo na zaara!","all okay u can check","y"
13,39,38,1358,"2020-12-21 12:13:00.0000000",,"y","hi","hi","y"
14,39,38,1457,"2020-12-21 12:13:00.0000000",,"y","testig","hi all okay you can proceed","y"
15,39,38,1461,"2020-12-21 12:13:00.0000000",,"y","test12341234","all okay from admin sending to meghana","y"
16,39,56,1235,"2020-12-22 10:38:00.0000000",,"y","dnkjasdnsjkdhaskjdhaksdhsjakdhksajhdjkasdhakjhd","hjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjdjkdjkdjkdjkdjkddddddddddd","y"
17,39,56,1540,"2020-12-21 12:13:00.0000000",,"y","kdfmskfksadmkamdklasmfdlkasmdlksa","okay no prblm","y"
18,39,56,1626,"2020-12-21 12:13:00.0000000",,"y","internal error2I","jkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk","y"
19,39,56,1626,"2020-12-22 11:30:00.0000000",,"y","hjhjjjjjjjjjjj","jkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk","y"
20,39,56,1748,"2020-12-21 12:13:00.0000000",,"y","internal error","All okay no internal error","y"
21,39,70,1761,"2020-12-21 12:13:00.0000000",,"y","testing_admin","123 test","y"
22,45,30,1454,"2020-12-21 12:13:00.0000000",,"y","TEST Refer","Reply refer comments","y"
23,56,39,1172,"2020-12-21 12:13:00.0000000",,"y","hi check 1","hi reply1","y"
24,56,39,1172,"2020-12-21 12:20:00.0000000",,"y","hi comnt 2",,"n"
25,56,56,1450,"2020-12-21 12:13:00.0000000",,"y",,,"n"
26,56,70,1625,"2020-12-21 12:13:00.0000000",,"y","testing",,"n"
27,56,70,1629,"2020-12-21 12:13:00.0000000",,"y","testing",,"n"
28,56,70,1718,"2020-12-21 12:13:00.0000000",,"y","testing",,"n"
29,56,70,1751,"2020-12-21 12:13:00.0000000",,"y","test01","done","y"
30,70,56,1516,"2020-12-21 12:13:00.0000000",,"y","test","testing_phase2","y"
31,70,56,1540,"2020-12-21 12:13:00.0000000",,"y","test_02","phase_02","y"
32,70,56,1572,"2020-12-21 12:13:00.0000000",,"y","testing_check",,"n"
33,70,70,1772,"2020-12-21 12:13:00.0000000",,"y","check01",,"n"
34,39,56,1626,"2020-12-22 12:11:00.0000000",,"y","dffggftfyhjhjjkkllklklbvbnhghjhj","hello test case new","y"
35,31,56,1626,"2020-12-22 12:21:00.0000000",,"y","newwwwwwwwwwwwwwwwwwwwwwww","repluuuuuuuuuuuuyyyyyyyyyyyyyyyyyyyynewwwwww","y"
36,91,56,1626,"2020-12-22 12:22:00.0000000",,"y","testttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt",,"n"
37,38,56,1572,"2020-12-22 12:46:00.0000000",,"y","jhhjfghjgfhjgf","jhgfhjfgjhfgjkfgjkgfjkfrommeghana","y"
38,56,39,1167,"2020-12-22 13:23:00.0000000",,"y","kllllllllllllllllllllllllllllllllllllll","frompriya","y"
39,31,39,1167,"2020-12-22 13:24:00.0000000",,"y","vhgggggggggggggggg","from vivek","y"
40,56,70,1813,"2020-12-22 19:48:00.0000000",,"y","hello_02","hello_03 - ok","y"
41,56,70,1813,"2020-12-22 19:53:00.0000000",,"y","hello_04 - check again",,"n"
42,56,70,1813,"2020-12-22 19:54:00.0000000",,"y","hello_04.1 - chechk again","hello_05 - DONE","y"
43,39,70,1813,"2020-12-22 20:00:00.0000000",,"y","hello_06 - check once","hello_07 - correct","y"
44,56,70,1825,"2020-12-22 20:13:00.0000000",,"y","test",,"n"
45,56,56,1626,"2020-12-23 02:12:00.0000000",,"y","testing",,"n"
46,31,39,1167,"2020-12-23 05:40:00.0000000",,"y","testttttttttttttttttttttttttttttttttt","foundddddddddddddddddddddddd","y"
47,56,39,1167,"2020-12-23 06:46:00.0000000",,"y","hjdhdhjdhjdhj","hjdjhfhjfjkfretpriya","y"
48,56,70,1842,"2020-12-23 07:53:00.0000000",,"y","hello_011",,"n"
49,56,70,1852,"2020-12-23 09:23:00.0000000",,"y","hellllllo",,"n"
50,31,70,1852,"2020-12-23 09:27:00.0000000",,"y","twstt",,"n"
51,39,38,1876,"2020-12-23 11:56:00.0000000",,"y","check",,"n"
52,56,38,1879,"2020-12-23 12:05:00.0000000",,"y","hi_02",,"n"
53,56,70,1883,"2020-12-23 12:10:00.0000000",,"y","hello_101",,"n"
54,56,70,1964,"2020-12-23 18:52:00.0000000",,"y","hello",,"n"
55,56,70,1964,"2020-12-23 18:52:00.0000000",,"y","hello2","ok","y"
56,44,44,1981,"2020-12-24 03:42:00.0000000",,"y","need help",,"n"
57,44,39,1955,"2020-12-24 06:17:00.0000000",,"y","test","ok","y"
58,44,45,2000,"2020-12-25 04:01:00.0000000",,"y","Refer Comments",,"n"
59,70,70,1953,"2020-12-27 07:10:00.0000000",,"y","Helo",,"n"
60,70,70,1629,"2020-12-27 18:52:00.0000000",,"y","Hi",,"n"
61,70,39,2064,"2020-12-28 03:50:00.0000000",,"y","check_01",,"n"
62,56,70,2067,"2020-12-28 04:03:00.0000000",,"y","refer_1","refer_2@","y"
63,56,70,2067,"2020-12-28 04:05:00.0000000",,"y","rfere_3","refer_4@","y"
64,56,70,2068,"2020-12-28 04:21:00.0000000",,"y","1st pahse msg","1st phase reply","y"
65,56,70,2068,"2020-12-28 04:22:00.0000000",,"y","2nd phase msg","2nd phase reply","y"
66,56,70,2068,"2020-12-28 04:24:00.0000000",,"y","3rd phase msg","3rd phase reply","y"
67,56,56,2115,"2020-12-28 11:20:00.0000000",,"y","Refer",,"n"
68,44,45,2217,"2020-12-28 18:23:00.0000000",,"y","Test","ok","y"
69,56,70,2280,"2020-12-30 14:54:00.0000000",,"y","check_01",,"n"
73,39,30,2291,"2020-12-31 09:15:00.0000000",,"y","ksajdhsakjdhskajdh","ksdhfskjdhksajdhasjd","y"
74,96,70,2381,"2021-01-04 15:27:00.0000000",,"y","comment_02",,"n"
75,56,70,2381,"2021-01-04 15:28:00.0000000",,"y","comment_03","done __ :)","y"
76,56,39,2266,"2021-01-04 16:27:00.0000000",,"y","demo",,"n"
77,70,56,2380,"2021-01-04 16:28:00.0000000",,"y","test","hi","y"
78,96,39,2385,"2021-01-04 19:17:00.0000000",,"y","test","yupppp","y"
79,70,39,2387,"2021-01-04 20:14:00.0000000",,"y","check","OK","y"
80,70,30,2374,"2021-01-05 02:42:00.0000000",,"y","test 3",,"n"
81,45,30,2374,"2021-01-05 02:48:00.0000000",,"y","test12","test34","y"
82,56,56,2272,"2021-01-05 09:51:00.0000000",,"y","refer comments testing",,"n"
83,44,56,2199,"2021-01-05 11:06:00.0000000",,"y","refer comments testing",,"n"
85,96,39,2409,"2021-01-05 11:47:00.0000000",,"y","dkjdshfkjsdsdnfdslkfjfdlkjvbdav ashwini","jai shri krishna mota bhai","y"
86,56,39,2134,"2021-01-05 13:04:00.0000000",,"y","a\,sndahdkjashdksad",,"n"
87,56,96,2411,"2021-01-05 13:18:00.0000000",,"y","hihihii","hi","y"
88,56,70,2416,"2021-01-05 14:47:00.0000000",,"y","checcccccccccccckkkkkkkkkkkkkkkk",,"y"
89,56,70,2416,"2021-01-05 14:51:00.0000000",,"y","ertyui","hhhhiiiiiiii","y"
90,31,70,2419,"2021-01-05 15:55:00.0000000",,"y","test","hi","y"
91,70,56,2420,"2021-01-05 16:40:00.0000000",,"y","refer to a","reply to p","y"
92,31,39,2154,"2021-01-06 05:15:00.0000000",,"y","check","complete","y"
93,31,39,1955,"2021-01-06 05:23:00.0000000",,"y","just test","test reply","y"
94,31,39,2147,"2021-01-06 05:41:00.0000000",,"y","check","check done","y"
95,31,39,2141,"2021-01-06 05:50:00.0000000",,"y","yuyuyu","jhfhjhjfjk","y"
96,31,39,2153,"2021-01-06 06:09:00.0000000",,"y","hjhdhjhjj","hjjkkl","y"
97,31,39,2154,"2021-01-06 06:17:00.0000000",,"y","time check",,"n"
98,56,70,2439,"2021-01-06 09:50:00.0000000",,"y","hhhiii","hi","y"
99,56,70,2441,"2021-01-06 10:10:00.0000000",,"y","pppp",,"n"
