10,"4500020168","GOLD","GOLD"
10,"45000201683","GOLD","GOLD"
10,"4500020198","GOLD","GOLD"
10,"4500020202","FI4-T-PRD-CZ30","Monitor-Component CZ-30"
10,"45000202026","GOLD","GOLD"
10,"4500020224","GOLD","GOLD"
10,"4500020232","GOLD","GOLD"
10,"4500020251","COPPER","COPPER"
10,"4500020276","GOLD","gold text"
10,"4500020277","GOLD","gold text"
10,"4500020281","GOLD","gold text"
10,"4500020285","GOLD","gold text"
10,"4500020289","GOLD","gold text"
10,"4500020290","GOLD","gold text"
10,"4500020292","GOLD","gold text"
10,"4500020293","GOLD","gold text"
10,"4500020295","GOLD","gold text"
10,"4500020305","FI5-T-IT143","Mainboard 32 MB RAM / 120 MHZ CPU"
10,"45000203058","GOLD","gold text"
10,"4500020308","GOLD","GOLD"
10,"4500020310","GOLD","GOLD"
10,"4500020311","GOLD","gold text"
10,"4500020312","GOLD","gold text"
10,"4500022453","000000000050065567","Silver"
10,"4500020343","GOLD","GOLD"
10,"4500020357","GOLD","gold text"
10,"4500020359","GOLD","gold text"
10,"4500020408","50066865","Xcite - KSA - CPS - April revenue"
10,"4500020415","50066886","Printing Warranty Cards"
10,"4500020419","FI5-T-IT500","Blu-Ray Player AX-500000"
10,"4500020420","FI5-T-IT500","Blu-Ray Player AX-500000"
10,"4500020421","50066902","ZIPS POWERED USB-C CABLE SENSOR STRAIGHT"
10,"4500020422","FI5-T-IT502","Blu-Ray Player AX-502000"
10,"4500020423","FI5-T-IT502","Blu-Ray Player AX-502000"
10,"4500020424","FI5-T-IT503","Blu-Ray Player AX-503000"
10,"4500020430","50066873","Samsung 75\" FLAT QLED 4K Resolution QA75"
10,"4500020431","50066876","Bluetooth Earphones\,Black M0001 HUAWEI"
10,"4500020432","WIRELESS HEADSET","WIRELESS HEADSET BLACK M0001"
10,"4500020433","50066905","BLACK WIRELESS HEADSET M0001"
10,"4500020434","50066868","IPAD PRO 2020 128GB WIFI 12.9\" -SGREY"
10,"4500020436","50066902","ZIPS POWERED USB-C CABLE SENSOR STRAIGHT"
10,"4500020439","50066869","Mi Electric Scooter 1S"
10,"4500020440","50066902","ZIPS POWERED USB-C CABLE SENSOR STRAIGHT"
10,"4500020453","50066865","Xcite - KSA - CPS - April revenue"
10,"4500020454","50066869","Mi Electric Scooter 1S"
10,"4500020455","50066900","Xcite - KSA - CPS - May revenue"
10,"4500020456","FI5-T-IT622","Graphics Card 1024 MB GDDR5 RAM"
10,"4500020458","FI5-T-IT623","Graphics Card 1024 MB GDDR5 RAM"
10,"4500020461","50066873","Samsung 75\" FLAT QLED 4K Resolution QA75"
10,"45000204614","50066873","Samsung 75\" FLAT QLED 4K Resolution QA75"
10,"4.50002E+11","50066873","Samsung 75\" FLAT QLED 4K Resolution QA75"
10,"4500020462","FI5-T-IT641","Graphics Card 2048 MB GDDR3 RAM"
10,"4500020467","50066854","Sheet metal roll"
10,"4500020488","FI5-T-PRD-CX10","Monitor-Component CX-10"
10,"4500020494","FI5-T-PRD-CX13","Monitor-Component CX-13"
10,"4500020533","1500-500","10W30 MOTOR OIL QT."
10,"4500020534","1500-500","10W30 MOTOR OIL QT."
10,"4500020536","1500-500","10W30 MOTOR OIL QT."
10,"4500020537","50067007","US Supplies"
10,"4500020541","50067007","US Supplies"
10,"4500020542","FI5-T-IT361","Notebook 3.2 GHZ 8 GB 15.6''"
10,"4500020542y","1500-500","10W30 MOTOR OIL QT."
10,"4500020542yg","1500-500","10W30 MOTOR OIL QT."
10,"4500020542ygg","1500-500","10W30 MOTOR OIL QT."
10,"4500020542yggg","1500-500","10W30 MOTOR OIL QT."
10,"4500020543","1500-500","10W30 MOTOR OIL QT."
10,"4500020544","FI5-T-IT364","Notebook 3.2 GHZ 8 GB 15.6''"
10,"4500020545","FI5-T-IT401","Notebook 2.4 GHZ 8 GB 17''"
10,"4500020547","1500-500","10W30 MOTOR OIL QT."
10,"4500020560","50066869","Mi Electric Scooter 1S"
10,"4500020561","FI5-T-IT642","Graphics Card 2048 MB GDDR3 RAM"
10,"4500022319","MRP-T-PRD-CY22","Monitor-Component CY-22"
10,"4500022394","50065566","Gold"
10,"45000223941","50065566","Gold"
10,"450002239417m","50065566","Gold"
10,"4500022395","100-100","Casings"
10,"4500022413","50065566","Gold"
10,"4500022419","50065566","Gold"
10,"4500022427","50065588","Lubricant oil"
10,"4500022432","50065566","Gold"
10,"4500022433","50065566","Gold"
10,"4500022433dw","50065566","Gold"
10,"4500022433dwd","50065566","Gold"
10,"4500022433dwq","50065566","Gold"
10,"4500022433dwqd","50065566","Gold"
10,"4500022433dwqds","50065566","Gold"
10,"4500022434","50065568","Brass"
10,"4500022437","50065566","Gold"
10,"4500022439","50065591","POLYETHYLENE COMPOUND KIXL03 MX"
10,"4500022446","50065566","Gold"
10,"4500022447","50065566","Gold"
10,"4500022452","50065593","ALUMINIUM WIRE ROD 9.5 MM"
10,"4500022455","50065604","Pc 12 kg Fire Extinguisher"
10,"4500022467","50065608","Pc Ear Plug"
10,"4500022606","50065585","ZIPS POWERED USB-C CABLE SENSOR STRAIGHT"
10,"4500022607","50065580","Cost of Removing the Old banner and Rein"
10,"4500022613","50065580","Cost of Removing the Old banner and Rein"
10,"4500022614","50065585","ZIPS POWERED USB-C CABLE SENSOR STRAIGHT"
10,"4500022615","50065580","Cost of Removing the Old banner and Rein"
10,"4500022627","50065580","Cost of Removing the Old banner and Rein"
10,"4500022854","50065678","TRAINING-FIRST RESPONDER AWARENESS LEVEL"
10,"4500022858","50065678","TRAINING-FIRST RESPONDER AWARENESS LEVEL"
10,"4500022862","50065678","TRAINING-FIRST RESPONDER AWARENESS LEVEL"
20,"4500020168","SILVER","SILVER"
20,"45000201683","SILVER","SILVER"
20,"4500020198","SILVER","SILVER"
20,"45000202026","SILVER","SILVER"
20,"4500020224","SILVER","SILVER"
20,"4500020277","SILVER","silver text"
20,"4500020285","SILVER","silver text"
