"30123","COLGATE TOOTHPASTE GRF 100ML",,"21",0,"CAR","124512"
"1014","15A PVC CONNECTOR - GERMAN (PKT OF 10 STRIPS)\,2.75","18","2",0,"UN",
"1015","PVC ELECTRICAL TAPE - VINI - JAPAN","18","0",0,"UN",
"1017","BASF SOKALAN RO 100 Anti Scalent For RO\,28","18","28",0,"UN",
"1019","ELECTRIC BLENDER WITH SOUND ENCLOSURE","18","360",0,"UN",
"1020","11L AUTOMATIC WATERBOILER. OUTPUT/HR: 31 LITE","18","224",0,"UN",
"1021","600 PLATE/HOUR DISH&GLASS WASHER\, 2 CYCLE 12","18","588",0,"UN",
"1022","EZ-FIT CUP DISPENSER\, ONE SIZE FITS ALL","18","32",0,"UN",
"1023","1 DOOR UPRIGHT REFRIGERATOR 700L","18","520",0,"UN",
"1024","Ice Cube Machine.","18","372",0,"UN",
"1025","2820 Iron-t Ironing Board 125*43cm","18","13",0,"UN",
"1027","Supply and installation of high quality digit","18","96000",0,"UN",
"10522","COLGATE HERBAL TOOTHPASTE 125ML","0","18",0,"UN","42411"
"1234","hhhr","18","123",113400,"Hr(s)","12"
"1500-500","10W30 MOTOR OIL QT.","T6","1000",0,"QT",
"1508001","PS WALL PANEL","18","450",417000,"UN","392590"
"1508002","ACRYLIC SHEET","18","2800",417000,"UN","392051"
"1508003","FLEXI PLY","18","1100",417000,"UN","441231"
"1508004","Gl-7215 2mm Acrylic Sheet","18","3675",417000,"UN","392051"
"1508005","Gl-7209 2mm Acrylic Sheet","18","3675",417000,"UN","392051"
"1508006","PLYWOOD 12mm X 8� X 4�","18","1170",417000,"UN","441231"
"1508007","Gl-7701 1.5mm ACRYLIC","18","2950",417000,"UN","392051"
"1508008","Plywood 8x4x6mm - Flexable","18","1150",417000,"UN","441231"
"1508009","Gloirio Bond (Glue) - 1 Kg","18","260",417000,"UN","350610"
"1508010","Gl-17902 1.5mm Acrylic Silver Mirror","18","3550",417000,"UN","392051"
"1508011","FL-3109 Plastic Mould Louvers","18","680",417000,"UN","392690"
"1508012","Plywood 8x4x6mm - Flexable","18","1150",417000,"UN","441231"
"1508013","Plywood Packing","18","150",417000,"UN","441231"
"1508014","GL-9951 Plastic Mold Louvers 8�X5��platium","18","780",417000,"UN","392690"
"1508015","Gl-2821 Gloris PD Panel 8x2 Basic","18","3900",417000,"UN","392640"
"1508016","Gl-7203 2mm ACRYLIC","18","3675",417000,"UN","392051"
"1508017","Gl-7206 2mm ACRYLIC","18","3675",417000,"UN","392051"
"1508018","Gl - 7330 Acrylic Sheet","18","2300",417000,"UN","392051"
"1508019","Gl - 7327 4H+ Acrylic Sheet","18","2300",417000,"UN","392051"
"1508020","Gl - 7313 4H+ Acrylic Sheet","18","2300",417000,"UN","392051"
"1508021","Plywood 8x4x6mm - Flexable","18","1150",417000,"UN","441231"
"1508022","BERGALAM 10094 BDM 1094 BM 2.44 X 1.22","18","1992",417000,"UN","392112"
"1508023","BERGALAM 10092 BD/ 11092 BM 2.44 X 1.22","18","1992",417000,"UN","392112"
"1508024","WATER BASED ADHESIVE - ACRYCOL","18","343",417000,"UN","390521"
"1508025","BERGALAM 10014 BD/11014 BM 2.44 X 1.22","18","2777",417000,"UN","392112"
"1508026","BERGALAM 10002 BD/11002 BM 2.44 X 1.22","18","2777",417000,"UN","392112"
"1508027","BERGALAM BJ 2012 2.44*1.22","18","2455",417000,"UN","392112"
"1508028","BERGALAM B-M 7001 / B-s 8001","18","2455",417000,"UN","392112"
"1508029","BERGALAM 10094 BD/1094 BM 2.44 X 1.22","18","1992",417000,"UN","392112"
"1508030","BERGALAM B-P 3017 2.44*1.22","18","1972",417000,"UN","392112"
"1508031","Royale Teak Landscape 4mm 8x4 / Archid Premium / TEAK PLY - GROUP MATCH","18","682",417000,"UN","441231"
"1508032","Royale Teak Landscape 4mm 2.44x1.17 / Archid Premium / TEAK PLY - GROUP MATCH","18","682",417000,"UN","441231"
"1508033","Royale Teak Landscape 4mm 2.44x1.19 / Archid Premium / TEAK PLY - GROUP MATCH","18","682",417000,"UN","441231"
"1508034","Royale Teak Landscape 4mm 2.39x1.22 / Archid Premium / TEAK PLY - GROUP MATCH","18","682",417000,"UN",
"1508035","9MM REG GR PLYWOOD MR","18","200",417000,"UN","441231"
"1508036","12MM REG GR PLYWOOD MR","18","230",417000,"UN","441231"
"1508037","25MM REG GR BLOCK PLYWOOD MR PINE","18","450",417000,"UN","441294"
"1508038","25MM REG GR BLOCK PLYWOOD PF PINE","18","490",417000,"UN","441294"
"1508039","30MM REG GR BLOCK PLYWOOD PF PINE","18","540",417000,"UN","441294"
"1508040","6MM REG GR PLYWOOD-PF","18","165",417000,"UN","441232"
"1508041","9MM REG GR PLYWOOD-PF","18","225",417000,"UN","441232"
"1508042","12MM REG GR PLYWOOD-PF","18","235",417000,"UN","441232"
"1508043","19MM REG GR PLYWOOD-PF","18","350",417000,"UN","441232"
"1508044","12MM REG GR PLYWOOD-MR","18","250",417000,"UN","441231"
"1508045","18MM REG GR PLYWOOD-MR","18","350",417000,"UN","441231"
"1508046","19 MM REG GR BLOCK BOARD MR PINE","18","365",417000,"UN","441294"
"1508047","25MM REG GR BLOCK BOARD MR PINE","18","450",417000,"UN","441294"
"1508048","30MM REG GR BLOCK BOARD PF PINE","18","540",417000,"UN","441294"
"1508049","12mm BWP Trojan Champion 2.14x1.22","18","796",417000,"UN","441231"
"1508050","19mm BWP Trojan Champion 2.14x1.22","18","1040",417000,"UN","441231"
"1508051","06mm BWP Trojan Champion 2.44x1.22","18","562",417000,"UN","441231"
"1508052","19mm BWP Trojan Champion 2.44x1.22","18","1202",417000,"UN","441231"
"1508053","25mm BWP Trojan Gold Block Board 2.44x1.22","18","1559",417000,"UN","441231"
"1508054","25mm BWP Trojan Gold Block Board 2.14x0.92","18","1559",417000,"UN","441231"
"1508055","WIGWAM EXCEL 710 MARlNE PLY 12MM 2.44 x1.22","18","1029",417000,"UN","441231"
"1508056","WIGWAM EXCEL 710 MARlNE PLY 12MM 2.14 x1.22","18","1029",417000,"UN","441231"
"1508057","WIGWAM EXCEL 710 MARlNE PLY 06MM 2.44 x1.22","18","617",417000,"UN","441231"
"1508058","WIGWAM EXCEL 710 MARlNE PLY 06MM 2.14 x1.22","18","617",417000,"UN","441231"
"1508059","WIGWAM CLUB PLUS 710 MARINE PLY 19MM 2.44 x 1.22","18","1825",417000,"UN","441231"
"1508060","WIGWAM CLUB PLUS 710 MARINE PLY 19MM 2.14 x 1.22","18","1825",417000,"UN","441231"
"1508061","WIGWAM CLUB PLUS 710 MARINE PLY 12MM 2.44 x 1.22","18","1246",417000,"UN","441231"
"1508062","WIGWAM CLUB PLUS 710 MARINE PLY 12MM 2.14 x 1.22","18","1246",417000,"UN","441231"
"1508063","WIGWAM CLUB PLUS BWP B/BOARD 25MM","18","2153",417000,"UN","441294"
"1508064","WIGWAM EXCEL 710 MARINE PLY 19MM 2.44 x 1 .22","18","1558",417000,"UN","441231"
"1508065","WIGWAM EXCEL 710 MARlNE PLY 19MM 2.14 x1.22","18","1558",417000,"UN","441231"
"1508066","WIGWAM EXCEL 710 MARlNE PLY 12MM 2.44 x1.22","18","1070",417000,"UN","441231"
"1508067","WIGWAM EXCEL 710 MARlNE PLY 12MM 2.14 x1.22","18","1070",417000,"UN","441231"
"1508068","WIGWAM EXCEL 710 MARlNE PLY 09MM 2.14 x1.22","18","853",417000,"UN","441231"
"1508069","WIGWAM EXCEL 710 MARlNE PLY 09MM 2.44 x1.22","18","853",417000,"UN","441231"
"1508070","WIGWAM EXCEL 710 MARlNE PLY 06MM 2.44 x1.22","18","642",417000,"UN","441231"
"1508071","WIGWAM EXCEL BWP PINE BIB 25MM 2.44 x 122","18","2049",417000,"UN","441294"
"1508072","WIGWAM EXCEL BWP PINE BIB 25MM 2.14 x 122","18","2049",417000,"UN","441294"
"1907006","Reimbursement of pf contribution for the month of Apr-2022","18","16499",0,"UN","998519"
"190707","Being P.F. REIMBURSEMENT OF EMPLOYERS april 2022","18","58118",0,"UN","998519"
"20522","BEESLINE LIP CARE SOOTHING JOURI ROSE 4S*4GM","0","26",0,"UN","415242"
"25-RED STU","25-Red STU","18","9230",0,"UN","235478"
"3000113","Bi- Monthly Preventive Maintanance visit for 09 nos. Mechanical flowmeter at your site","18","1625",0,"Day(s)",
"3000114","As per contract","0I","2912253",0,"Day(s)",
"3000171","ELIPO SAAS","18","1000",0,"Day(s)",
"3000188","ACD","18","50000",0,"Day(s)",
"3000191","Demo Service","0","1000",417000,"Day(s)",
"3000192","Invoicing service","0","1000",417000,"Day(s)",
"3000193","New Service","0","100",417000,"Day(s)",
"400","thth","0","555",101000,"Cms",
"456","demo","18","12",113000,"Mts","12"
"500","fg","0","514",113310,"Each","44"
"50065566","GOLD","18","1000",0,"KG","7108"
"50065567","SILVER","18","1000",0,"KG","7106"
"50065568","BRASS","18","1000",113400,"KG","7412"
"50065574","Xcite - KSA - CPS - May revenue","0","88",0,"ST",
"50065575","Xcite - Kuwait - CPS - May revenue","0","1448",0,"ST",
