"y",1,3048,39,1,"series","2021-01-20 02:35:36.0000000","2021-01-20 02:36:24.0000000","approved","0",
"y",1,3535,39,3,"parallel","2021-04-15 05:46:16.0000000","2021-05-12 04:43:50.0000000","approved","0",
"y",1,3582,39,3,"parallel","2021-04-15 05:20:18.0000000","2021-05-11 10:30:11.0000000","approved","0",
"y",1,3711,39,3,"parallel","2021-04-15 05:19:41.0000000","2021-05-11 10:21:29.0000000","approved","0","new req dt 11 may 2021"
"y",1,4121,39,1,"parallel","2021-04-16 03:47:40.0000000","2021-05-11 09:16:12.0000000","approved",,
"y",1,4144,39,3,"parallel","2021-04-15 14:18:08.0000000","2021-05-02 10:44:23.0000000","approved","6",
"y",2,3048,31,2,"series","2021-01-20 02:35:36.0000000","2021-01-20 02:37:19.0000000","approved",,
"y",2,3071,110,1,"parallel","2021-01-20 02:40:43.0000000","2021-01-20 02:41:51.0000000","approved","0",
"y",2,3081,110,1,"parallel","2021-01-20 07:43:46.0000000","2021-01-20 07:45:30.0000000","approved","0",
"y",2,3087,110,1,"parallel","2021-01-20 08:35:36.0000000","2021-01-20 08:36:44.0000000","approved","16",
"y",2,3093,71,1,"parallel","2021-01-22 15:42:36.0000000","2021-02-22 15:12:08.0000000","approved","0",
"y",2,3105,110,2,"parallel","2021-01-21 04:20:09.0000000","2021-01-21 04:22:05.0000000","approved","0",
"y",2,3107,110,2,"parallel","2021-01-21 04:20:40.0000000","2021-01-21 04:22:09.0000000","approved","0",
"y",2,3109,31,2,"parallel","2021-01-23 10:07:12.0000000","2021-01-23 10:07:26.0000000","approved","0",
"y",2,3110,31,2,"parallel","2021-01-23 10:05:26.0000000","2021-01-23 10:05:47.0000000","approved","0",
"y",2,3111,110,2,"parallel","2021-01-21 06:12:28.0000000","2021-01-21 06:14:26.0000000","approved",,
"y",2,3112,110,2,"parallel","2021-01-21 06:43:33.0000000","2021-01-21 06:45:49.0000000","approved","77",
"y",2,3114,31,2,"parallel","2021-01-23 09:51:05.0000000","2021-01-23 09:52:15.0000000","approved","0",
"y",2,3120,110,2,"parallel","2021-01-22 05:03:44.0000000","2021-01-22 05:08:14.0000000","approved","0",
"y",2,3125,31,2,"parallel","2021-01-22 05:57:13.0000000","2021-01-22 05:59:52.0000000","approved",,
"y",2,3128,31,2,"parallel","2021-01-22 06:01:06.0000000","2021-01-22 06:01:38.0000000","approved",,
"y",2,3130,110,2,"parallel","2021-01-22 07:55:11.0000000","2021-01-22 11:04:13.0000000","approved",,
"y",2,3131,31,2,"parallel","2021-01-22 08:29:43.0000000","2021-01-22 08:35:08.0000000","approved",,
"y",2,3132,110,2,"parallel","2021-01-22 11:02:20.0000000","2021-01-22 11:03:33.0000000","approved","0",
"y",2,3137,31,2,"parallel","2021-01-25 05:45:06.0000000","2021-01-25 05:46:22.0000000","approved","0",
"y",2,3146,71,2,"parallel","2021-01-25 06:53:42.0000000","2021-02-22 15:12:04.0000000","approved","0",
"y",2,3155,110,2,"parallel","2021-01-25 08:12:38.0000000","2021-02-01 03:46:56.0000000","approved","0",
"y",2,3169,31,1,"parallel","2021-01-25 11:07:32.0000000","2021-01-25 11:08:05.0000000","approved","0",
"y",2,3170,31,1,"parallel","2021-01-25 11:04:31.0000000","2021-01-25 11:05:04.0000000","approved","0",
"y",2,3181,110,2,"parallel","2021-01-27 08:54:30.0000000","2021-01-27 08:57:09.0000000","approved","0",
"y",2,3186,110,2,"parallel","2021-01-27 07:25:36.0000000","2021-01-27 07:28:04.0000000","approved","0",
"y",2,3189,110,2,"parallel","2021-01-28 06:27:32.0000000","2021-01-28 06:28:17.0000000","approved",,
"y",2,3191,110,2,"parallel","2021-01-28 07:21:46.0000000","2021-01-28 07:25:18.0000000","approved","0",
"y",2,3195,31,1,"parallel","2021-01-28 10:38:42.0000000","2021-01-28 10:39:47.0000000","approved","0",
"y",2,3196,110,2,"parallel","2021-01-28 09:29:04.0000000","2021-01-28 09:31:52.0000000","approved","2",
"y",2,3197,71,2,"parallel","2021-01-29 05:15:26.0000000","2021-02-22 15:05:26.0000000","approved","0",
"y",2,3200,31,1,"parallel","2021-01-29 06:29:33.0000000","2021-01-29 06:35:15.0000000","approved","0",
