3772,"INV20/21","5105610987","tosap",,,"4500020305","1000","2021-03-09 06:46:55.0000000","2020-10-23","2021-03-11","2021-03-11","2021-05-10",10,"2021-06-25 09:29:22.0000000","2021-03-11 07:40:45.0000000","35400",,"EUR","Cash",0,,2000000085,0,"Winger IT Solutions",,"0",,30000,0,0,0,,"0",15000,15000,0,0,0,"60","0",39,,,0,0,,"n","n","RE",,"paid",,,"0","0",,"0",0,
3773,"796/20-21",,"new",,,,"1000","2021-03-09 06:47:16.0000000","2020-08-31","2020-08-31","2020-10-30",,0,"2021-08-18 05:10:42.0000000",,"101063.46",,"EUR","Cash",0,,2000000060,0,"Winger IT Solutions",,"1000",,0,0,0,0,"n",,0,0,0,0,0,"60","0",0,,"y",0,0,,"y","n","RE",,"unpaid",,,"0","0",,"0",0,
3774,"TEST001","5105610988","tosap","approved",,,"1000","2021-03-09 06:47:21.0000000","2021-03-11","2021-03-11","2021-03-11","2021-03-11",91,"2021-06-25 09:29:22.0000000","2021-03-11 07:43:38.0000000","1790.5",,"INR","Cash",113400,,2000000075,0,"MAHINDRA HOLIDAYS & RESORT INDIA LTD",,"1003",,1599,0,0,0,"y","0",96,96,192,0,0,"0","0",39,,"y",101,122,,"y","n","RE",,"paid",,,"0","0",,"0",0,
3775,"INV52/20",,"new",,,"4500020202","1000","2021-03-09 06:47:25.0000000","2020-10-23","2020-09-29","2020-12-22",,0,"2021-08-18 05:10:42.0000000",,"827180",,"EUR","Cash",0,,2000000060,0,"Winger IT Solutions",,"1000",,0,0,0,0,"n",,0,0,0,0,0,"60","0",0,,,0,0,,"n","n","RE",,"unpaid",,,"0","0",,"0",0,
3776,"796/20-21",,"inapproval",,,,"1000","2021-03-11 06:30:08.0000000","2020-08-31","2021-03-11","2021-03-11","2021-05-10",23,"2021-08-18 05:10:42.0000000",,"101063.46",,"EUR","Cash",113400,,2000000060,0,"Winger IT Solutions",,"1003",,85647,0,0,0,,"0",7708,7708,0,0,0,"60","0",39,,"y",101,122,,"y","n","RE",,"unpaid",,,"0","0",,"0",0,
3777,"INV20/21",,"inapproval",,,"4500020305","1000","2021-03-11 06:30:35.0000000","2020-10-23","2021-03-11","2021-03-11","2021-05-10",4,"2021-08-18 05:10:42.0000000",,"35400",,"EUR","Cash",0,,2000000085,0,"Winger IT Solutions",,"0",,30000,0,0,0,,"0",15000,15000,0,0,0,"60","0",39,,,0,0,,"n","n","RE",,"unpaid",,,"0","0",,"0",0,
3778,"INV52/20",,"draft",,,"4500020202","1000","2021-03-11 06:30:39.0000000","2020-10-23","2021-03-11","2021-03-11","2021-05-10",10,"2021-08-18 05:10:42.0000000",,"827180",,"INR","Cash",0,,2000000060,0,"Winger IT Solutions",,"0",,701000,0,0,0,,"0",63090,63090,0,0,0,"60","0",39,,,0,0,,"n","n","RE",,"unpaid",,,"0","0",,"0",0,
3779,"TEST001","5105610986","tosap","approved",,,"1000","2021-03-11 06:30:40.0000000","2021-03-11","2021-03-11","2021-03-11","2021-03-11",16,"2021-06-25 09:29:22.0000000","2021-03-11 06:39:54.0000000","1790.5",,"INR","Cash",113400,,2000000075,0,"MAHINDRA HOLIDAYS & RESORT INDIA LTD",,"1003",,1599,0,0,0,"y","0",96,96,192,0,0,"0","0",39,,"y",101,122,,"y","n","RE",,"paid",,,"0","0",,"0",0,
3780,"INV52/20",,"draft",,,"4500020202","1000","2021-03-16 08:26:33.0000000","2020-10-23","2021-03-16","2021-03-16","2021-05-15",9,"2021-08-18 05:10:42.0000000",,"827180",,"INR","Cash",0,,2000000060,0,"Winger IT Solutions",,"0",,701000,0,0,0,,"0",63090,63090,0,0,0,"60","0",39,,,0,0,,"n","n","RE",,"unpaid",,,"0","0",,"0",0,
3781,"796/20-21","5105610996","tosap",,,,"1000","2021-03-16 08:27:03.0000000","2020-08-31","2021-03-16","2021-03-16","2021-05-15",84,"2021-06-25 09:29:22.0000000","2021-03-16 09:08:00.0000000","101063.46",,"EUR","Cash",113400,,2000000060,0,"Winger IT Solutions",,"1003",,85647,0,0,0,,"0",7708,7708,0,0,0,"60","0",39,,"y",101,122,,"y","n","RE",,"paid",,,"0","0",,"0",0,
