"y",2,7844,,"n",1,"single","2022-03-16",222,"2022-03-16 08:45:08.0000000","2022-03-16 08:45:08.0000000",0,0,"n",,"n",
"y",2,7846,,"n",1,"single","2022-03-16",220,"2022-03-16 09:13:03.0000000","2022-03-16 09:13:03.0000000",0,0,"n",,"n",
"y",2,7853,,"n",1,"single","2022-03-16",220,"2022-03-16 09:29:27.0000000","2022-03-16 09:29:27.0000000",0,0,"n",,"n",
"y",2,7859,,"n",1,"single","2022-03-16",222,"2022-03-16 10:51:35.0000000","2022-03-16 10:51:35.0000000",0,0,"n",,"n",
"y",2,7860,,"n",1,"single","2022-03-16",220,"2022-03-16 10:20:57.0000000","2022-03-16 10:20:57.0000000",0,0,"n",,"n",
"y",2,7871,,"n",1,"single","2022-03-16",220,"2022-03-16 09:24:34.0000000","2022-03-16 09:24:34.0000000",0,0,"n",,"n",
"y",2,7880,,"n",1,"parallel","2022-03-17",37,"2022-03-16 10:54:27.0000000","2022-03-16 10:54:27.0000000",0,0,"n",,"n",
"y",2,7883,,"n",1,"single","2022-03-16",222,"2022-03-16 09:47:26.0000000","2022-03-16 09:47:26.0000000",0,0,"n",,"n",
"y",2,7888,,"n",1,"single","2022-03-16",222,"2022-03-16 08:05:32.0000000","2022-03-16 08:05:32.0000000",0,0,"n",,"n",
"y",2,7890,,"n",1,"parallel","2022-03-17",37,"2022-03-16 11:20:19.0000000","2022-03-16 11:20:19.0000000",0,0,"n",,"n",
"y",2,7891,,"n",1,"parallel","2022-03-17",42,"2022-03-16 09:05:43.0000000","2022-03-16 09:05:43.0000000",0,0,"n",,"n",
"y",2,7897,,"n",1,"parallel","2022-03-17",37,"2022-03-16 10:40:15.0000000","2022-03-16 10:40:15.0000000",0,0,"n",,"n",
"y",2,7898,,"n",1,"parallel","2022-03-17",37,"2022-03-16 09:54:28.0000000","2022-03-16 09:54:28.0000000",0,0,"n",,"n",
"y",2,7901,,"n",1,"single","2022-03-07",222,"2022-03-07 04:33:06.0000000","2022-03-07 04:33:06.0000000",0,0,"n",,"n",
"y",2,7906,,"n",1,"parallel","2022-03-17",37,"2022-03-16 09:00:56.0000000","2022-03-16 09:00:56.0000000",0,0,"n",,"n",
"y",2,7907,,"n",1,"parallel","2022-03-17",37,"2022-03-16 08:52:06.0000000","2022-03-16 08:52:06.0000000",0,0,"n",,"n",
"y",2,7911,,"n",1,"single","2022-03-16",222,"2022-03-16 10:28:45.0000000","2022-03-16 10:28:45.0000000",0,0,"n",,"n",
"y",2,7915,,"n",1,"parallel","2022-03-18",37,"2022-03-17 04:32:27.0000000","2022-03-17 04:32:27.0000000",0,0,"n",,"n",
"y",2,7919,,"n",1,"single","2022-03-16",220,"2022-03-16 08:12:36.0000000","2022-03-16 08:12:36.0000000",0,0,"n",,"n",
